"순위","적합도","기업명","공고명","근무지역","경력","고용형태","등록일","마감일","선정근거","출처","공고URL"
"1","100","샘플기관 08","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-20","2026-09-03","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"2","100","샘플기관 22","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-20","2026-09-17","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"3","100","샘플기관 02","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-19","2026-08-28","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"4","100","샘플기관 16","교육 AI 서비스 기획 PM","서울","신입","체험형 인턴","2026-08-19","2026-09-11","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"5","100","샘플기관 38","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-18","2026-09-09","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"6","100","샘플기관 32","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-17","2026-09-03","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"7","100","샘플기관 26","스마트도시·GIS 연구원","경기","경력무관","체험형 인턴","2026-08-16","2026-08-28","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"8","100","샘플기관 20","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-15","2026-09-15","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"9","100","샘플기관 14","스마트도시·GIS 연구원","경기","경력무관","계약직·정규직","2026-08-14","2026-09-09","도시·GIS·정책·연구·PM·인프라·수도권","샘플",""
"10","99","샘플기관 10","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-18","2026-09-05","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"11","98","샘플기관 04","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-17","2026-08-30","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"12","97","샘플기관 40","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-16","2026-09-11","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"13","96","샘플기관 01","AI·데이터 전략 연구원","서울","신입","체험형 인턴","2026-08-20","2026-08-27","AI·데이터·정책·연구·수도권·지원범위","샘플",""
"14","96","샘플기관 34","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-15","2026-09-05","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"15","95","샘플기관 28","교육 AI 서비스 기획 PM","서울","신입","계약직·정규직","2026-08-14","2026-08-30","AI·데이터·PM·인프라·교육·알고리즘·수도권","샘플",""
"16","94","샘플기관 31","AI·데이터 전략 연구원","서울","신입","체험형 인턴","2026-08-18","2026-09-02","AI·데이터·정책·연구·수도권·지원범위","샘플",""
"17","89","샘플기관 37","AI·데이터 전략 연구원","서울","신입","계약직·정규직","2026-08-19","2026-09-08","AI·데이터·정책·연구·수도권·지원범위","샘플",""
"18","88","샘플기관 11","인프라 사업관리 연구원","경기","경력무관","체험형 인턴","2026-08-17","2026-09-06","정책·연구·PM·인프라·수도권·지원범위","샘플",""
"19","87","샘플기관 25","AI·데이터 전략 연구원","서울","신입","계약직·정규직","2026-08-17","2026-08-27","AI·데이터·정책·연구·수도권·지원범위","샘플",""
"20","86","샘플기관 19","AI·데이터 전략 연구원","서울","신입","계약직·정규직","2026-08-16","2026-09-14","AI·데이터·정책·연구·수도권·지원범위","샘플",""
